Data,Hora UTC,Temperatura,Umidade,Dia,Mes,Hora,Temperatura_2h,Umidade_2h
2025-01-01,0000 UTC,28.4,49.0,1,1,0,24.8,68.0
2025-01-01,0100 UTC,26.8,56.0,1,1,1,24.0,68.0
2025-01-01,0200 UTC,24.8,68.0,1,1,2,23.3,71.0
2025-01-01,0300 UTC,24.0,68.0,1,1,3,22.7,75.0
2025-01-01,0400 UTC,23.3,71.0,1,1,4,22.9,72.0
2025-01-01,0500 UTC,22.7,75.0,1,1,5,22.8,71.0
2025-01-01,0600 UTC,22.9,72.0,1,1,6,22.2,75.0
2025-01-01,0700 UTC,22.8,71.0,1,1,7,22.7,73.0
2025-01-01,0800 UTC,22.2,75.0,1,1,8,23.9,67.0
2025-01-01,0900 UTC,22.7,73.0,1,1,9,25.7,58.0
2025-01-01,1000 UTC,23.9,67.0,1,1,10,27.6,50.0
2025-01-01,1100 UTC,25.7,58.0,1,1,11,28.8,45.0
2025-01-01,1200 UTC,27.6,50.0,1,1,12,30.3,37.0
2025-01-01,1300 UTC,28.8,45.0,1,1,13,31.8,32.0
2025-01-01,1400 UTC,30.3,37.0,1,1,14,32.8,29.0
2025-01-01,1500 UTC,31.8,32.0,1,1,15,33.4,28.0
2025-01-01,1600 UTC,32.8,29.0,1,1,16,33.8,25.0
2025-01-01,1700 UTC,33.4,28.0,1,1,17,33.6,26.0
2025-01-01,1800 UTC,33.8,25.0,1,1,18,32.8,27.0
2025-01-01,1900 UTC,33.6,26.0,1,1,19,31.7,30.0
2025-01-01,2000 UTC,32.8,27.0,1,1,20,30.5,33.0
2025-01-01,2100 UTC,31.7,30.0,1,1,21,29.2,40.0
2025-01-01,2200 UTC,30.5,33.0,1,1,22,27.6,49.0
2025-01-01,2300 UTC,29.2,40.0,1,1,23,26.2,58.0
2025-01-02,0000 UTC,27.6,49.0,2,1,0,24.8,68.0
2025-01-02,0100 UTC,26.2,58.0,2,1,1,23.9,73.0
2025-01-02,0200 UTC,24.8,68.0,2,1,2,23.4,73.0
2025-01-02,0300 UTC,23.9,73.0,2,1,3,23.2,73.0
2025-01-02,0400 UTC,23.4,73.0,2,1,4,22.4,76.0
2025-01-02,0500 UTC,23.2,73.0,2,1,5,22.0,79.0
2025-01-02,0600 UTC,22.4,76.0,2,1,6,21.5,81.0
2025-01-02,0700 UTC,22.0,79.0,2,1,7,22.1,79.0
2025-01-02,0800 UTC,21.5,81.0,2,1,8,23.5,71.0
2025-01-02,0900 UTC,22.1,79.0,2,1,9,26.1,58.0
2025-01-02,1000 UTC,23.5,71.0,2,1,10,27.8,47.0
2025-01-02,1100 UTC,26.1,58.0,2,1,11,28.6,41.0
2025-01-02,1200 UTC,27.8,47.0,2,1,12,31.1,33.0
2025-01-02,1300 UTC,28.6,41.0,2,1,13,31.9,30.0
2025-01-02,1400 UTC,31.1,33.0,2,1,14,32.4,28.0
2025-01-02,1500 UTC,31.9,30.0,2,1,15,33.1,26.0
2025-01-02,1600 UTC,32.4,28.0,2,1,16,33.6,25.0
2025-01-02,1700 UTC,33.1,26.0,2,1,17,33.4,24.0
2025-01-02,1800 UTC,33.6,25.0,2,1,18,32.7,25.0
2025-01-02,1900 UTC,33.4,24.0,2,1,19,31.7,27.0
2025-01-02,2000 UTC,32.7,25.0,2,1,20,30.5,29.0
2025-01-02,2100 UTC,31.7,27.0,2,1,21,29.7,34.0
2025-01-02,2200 UTC,30.5,29.0,2,1,22,28.1,49.0
2025-01-02,2300 UTC,29.7,34.0,2,1,23,26.3,59.0
2025-01-03,0000 UTC,28.1,49.0,3,1,0,25.0,66.0
2025-01-03,0100 UTC,26.3,59.0,3,1,1,23.9,70.0
2025-01-03,0200 UTC,25.0,66.0,3,1,2,23.2,74.0
2025-01-03,0300 UTC,23.9,70.0,3,1,3,22.5,77.0
2025-01-03,0400 UTC,23.2,74.0,3,1,4,21.9,80.0
2025-01-03,0500 UTC,22.5,77.0,3,1,5,21.4,82.0
2025-01-03,0600 UTC,21.9,80.0,3,1,6,21.2,81.0
2025-01-03,0700 UTC,21.4,82.0,3,1,7,21.9,76.0
2025-01-03,0800 UTC,21.2,81.0,3,1,8,23.9,65.0
2025-01-03,0900 UTC,21.9,76.0,3,1,9,25.2,59.0
2025-01-03,1000 UTC,23.9,65.0,3,1,10,27.0,52.0
2025-01-03,1100 UTC,25.2,59.0,3,1,11,28.7,44.0
2025-01-03,1200 UTC,27.0,52.0,3,1,12,31.0,35.0
2025-01-03,1300 UTC,28.7,44.0,3,1,13,32.1,31.0
2025-01-03,1400 UTC,31.0,35.0,3,1,14,33.2,29.0
2025-01-03,1500 UTC,32.1,31.0,3,1,15,33.1,27.0
2025-01-03,1600 UTC,33.2,29.0,3,1,16,33.8,26.0
2025-01-03,1700 UTC,33.1,27.0,3,1,17,33.7,25.0
2025-01-03,1800 UTC,33.8,26.0,3,1,18,33.0,28.0
2025-01-03,1900 UTC,33.7,25.0,3,1,19,32.1,30.0
2025-01-03,2000 UTC,33.0,28.0,3,1,20,31.0,34.0
2025-01-03,2100 UTC,32.1,30.0,3,1,21,30.0,39.0
2025-01-03,2200 UTC,31.0,34.0,3,1,22,28.0,53.0
2025-01-03,2300 UTC,30.0,39.0,3,1,23,26.3,62.0
2025-01-04,0000 UTC,28.0,53.0,4,1,0,24.7,70.0
2025-01-04,0100 UTC,26.3,62.0,4,1,1,24.2,72.0
2025-01-04,0200 UTC,24.7,70.0,4,1,2,24.1,72.0
2025-01-04,0300 UTC,24.2,72.0,4,1,3,23.5,70.0
2025-01-04,0400 UTC,24.1,72.0,4,1,4,23.4,70.0
2025-01-04,0500 UTC,23.5,70.0,4,1,5,23.5,69.0
2025-01-04,0600 UTC,23.4,70.0,4,1,6,23.4,70.0
2025-01-04,0700 UTC,23.5,69.0,4,1,7,23.5,70.0
2025-01-04,0800 UTC,23.4,70.0,4,1,8,24.2,67.0
2025-01-04,0900 UTC,23.5,70.0,4,1,9,24.9,66.0
2025-01-04,1000 UTC,24.2,67.0,4,1,10,27.0,56.0
2025-01-04,1100 UTC,24.9,66.0,4,1,11,28.1,51.0
2025-01-04,1200 UTC,27.0,56.0,4,1,12,30.3,44.0
2025-01-04,1300 UTC,28.1,51.0,4,1,13,31.5,39.0
2025-01-04,1400 UTC,30.3,44.0,4,1,14,33.1,32.0
2025-01-04,1500 UTC,31.5,39.0,4,1,15,33.8,28.0
2025-01-04,1600 UTC,33.1,32.0,4,1,16,34.5,26.0
2025-01-04,1700 UTC,33.8,28.0,4,1,17,34.3,25.0
2025-01-04,1800 UTC,34.5,26.0,4,1,18,33.7,27.0
2025-01-04,1900 UTC,34.3,25.0,4,1,19,32.4,30.0
2025-01-04,2000 UTC,33.7,27.0,4,1,20,30.8,39.0
2025-01-04,2100 UTC,32.4,30.0,4,1,21,29.4,48.0
2025-01-04,2200 UTC,30.8,39.0,4,1,22,27.6,58.0
2025-01-04,2300 UTC,29.4,48.0,4,1,23,26.1,65.0
2025-01-05,0000 UTC,27.6,58.0,5,1,0,25.1,67.0
2025-01-05,0100 UTC,26.1,65.0,5,1,1,24.6,69.0
2025-01-05,0200 UTC,25.1,67.0,5,1,2,24.1,69.0
2025-01-05,0300 UTC,24.6,69.0,5,1,3,24.2,66.0
2025-01-05,0400 UTC,24.1,69.0,5,1,4,24.0,69.0
2025-01-05,0500 UTC,24.2,66.0,5,1,5,23.6,72.0
2025-01-05,0600 UTC,24.0,69.0,5,1,6,22.9,76.0
2025-01-05,0700 UTC,23.6,72.0,5,1,7,22.7,79.0
2025-01-05,0800 UTC,22.9,76.0,5,1,8,23.7,75.0
2025-01-05,0900 UTC,22.7,79.0,5,1,9,25.5,65.0
2025-01-05,1000 UTC,23.7,75.0,5,1,10,27.8,55.0
2025-01-05,1100 UTC,25.5,65.0,5,1,11,30.1,46.0
2025-01-05,1200 UTC,27.8,55.0,5,1,12,31.6,40.0
2025-01-05,1300 UTC,30.1,46.0,5,1,13,32.5,36.0
2025-01-05,1400 UTC,31.6,40.0,5,1,14,33.9,31.0
2025-01-05,1500 UTC,32.5,36.0,5,1,15,34.1,27.0
2025-01-05,1600 UTC,33.9,31.0,5,1,16,34.7,24.0
2025-01-05,1700 UTC,34.1,27.0,5,1,17,34.6,26.0
2025-01-05,1800 UTC,34.7,24.0,5,1,18,33.3,28.0
2025-01-05,1900 UTC,34.6,26.0,5,1,19,32.2,31.0
2025-01-05,2000 UTC,33.3,28.0,5,1,20,31.1,38.0
2025-01-05,2100 UTC,32.2,31.0,5,1,21,29.6,45.0
2025-01-05,2200 UTC,31.1,38.0,5,1,22,27.8,55.0
2025-01-05,2300 UTC,29.6,45.0,5,1,23,26.0,66.0
2025-01-06,0000 UTC,27.8,55.0,6,1,0,25.3,68.0
2025-01-06,0100 UTC,26.0,66.0,6,1,1,24.7,71.0
2025-01-06,0200 UTC,25.3,68.0,6,1,2,24.1,72.0
2025-01-06,0300 UTC,24.7,71.0,6,1,3,23.4,75.0
2025-01-06,0400 UTC,24.1,72.0,6,1,4,23.0,77.0
2025-01-06,0500 UTC,23.4,75.0,6,1,5,22.7,80.0
2025-01-06,0600 UTC,23.0,77.0,6,1,6,22.3,81.0
2025-01-06,0700 UTC,22.7,80.0,6,1,7,22.4,82.0
2025-01-06,0800 UTC,22.3,81.0,6,1,8,23.7,77.0
2025-01-06,0900 UTC,22.4,82.0,6,1,9,25.3,68.0
2025-01-06,1000 UTC,23.7,77.0,6,1,10,28.0,56.0
2025-01-06,1100 UTC,25.3,68.0,6,1,11,29.3,49.0
2025-01-06,1200 UTC,28.0,56.0,6,1,12,31.1,42.0
2025-01-06,1300 UTC,29.3,49.0,6,1,13,32.2,37.0
2025-01-06,1400 UTC,31.1,42.0,6,1,14,33.2,32.0
2025-01-06,1500 UTC,32.2,37.0,6,1,15,34.1,29.0
2025-01-06,1600 UTC,33.2,32.0,6,1,16,33.7,26.0
2025-01-06,1700 UTC,34.1,29.0,6,1,17,33.6,25.0
2025-01-06,1800 UTC,33.7,26.0,6,1,18,33.1,28.0
2025-01-06,1900 UTC,33.6,25.0,6,1,19,31.2,34.0
2025-01-06,2000 UTC,33.1,28.0,6,1,20,30.4,40.0
2025-01-06,2100 UTC,31.2,34.0,6,1,21,28.9,48.0
2025-01-06,2200 UTC,30.4,40.0,6,1,22,27.4,57.0
2025-01-06,2300 UTC,28.9,48.0,6,1,23,26.0,65.0
2025-01-07,0000 UTC,27.4,57.0,7,1,0,25.0,70.0
2025-01-07,0100 UTC,26.0,65.0,7,1,1,24.4,71.0
2025-01-07,0200 UTC,25.0,70.0,7,1,2,23.6,73.0
2025-01-07,0300 UTC,24.4,71.0,7,1,3,23.2,75.0
2025-01-07,0400 UTC,23.6,73.0,7,1,4,22.6,77.0
2025-01-07,0500 UTC,23.2,75.0,7,1,5,22.5,79.0
2025-01-07,0600 UTC,22.6,77.0,7,1,6,22.4,79.0
2025-01-07,0700 UTC,22.5,79.0,7,1,7,22.3,80.0
2025-01-07,0800 UTC,22.4,79.0,7,1,8,23.8,70.0
2025-01-07,0900 UTC,22.3,80.0,7,1,9,25.4,60.0
2025-01-07,1000 UTC,23.8,70.0,7,1,10,26.4,54.0
2025-01-07,1100 UTC,25.4,60.0,7,1,11,28.9,43.0
2025-01-07,1200 UTC,26.4,54.0,7,1,12,31.0,33.0
2025-01-07,1300 UTC,28.9,43.0,7,1,13,32.2,28.0
2025-01-07,1400 UTC,31.0,33.0,7,1,14,33.2,23.0
2025-01-07,1500 UTC,32.2,28.0,7,1,15,34.5,19.0
2025-01-07,1600 UTC,33.2,23.0,7,1,16,34.7,18.0
2025-01-07,1700 UTC,34.5,19.0,7,1,17,34.0,19.0
2025-01-07,1800 UTC,34.7,18.0,7,1,18,34.0,20.0
2025-01-07,1900 UTC,34.0,19.0,7,1,19,33.0,22.0
2025-01-07,2000 UTC,34.0,20.0,7,1,20,32.0,27.0
2025-01-07,2100 UTC,33.0,22.0,7,1,21,29.4,42.0
2025-01-07,2200 UTC,32.0,27.0,7,1,22,27.0,56.0
2025-01-07,2300 UTC,29.4,42.0,7,1,23,25.8,62.0
2025-01-08,0000 UTC,27.0,56.0,8,1,0,25.0,66.0
2025-01-08,0100 UTC,25.8,62.0,8,1,1,24.6,67.0
2025-01-08,0200 UTC,25.0,66.0,8,1,2,23.9,68.0
2025-01-08,0300 UTC,24.6,67.0,8,1,3,23.1,72.0
2025-01-08,0400 UTC,23.9,68.0,8,1,4,22.7,73.0
2025-01-08,0500 UTC,23.1,72.0,8,1,5,22.3,75.0
2025-01-08,0600 UTC,22.7,73.0,8,1,6,21.9,77.0
2025-01-08,0700 UTC,22.3,75.0,8,1,7,22.2,77.0
2025-01-08,0800 UTC,21.9,77.0,8,1,8,23.6,71.0
2025-01-08,0900 UTC,22.2,77.0,8,1,9,25.4,62.0
2025-01-08,1000 UTC,23.6,71.0,8,1,10,27.8,52.0
2025-01-08,1100 UTC,25.4,62.0,8,1,11,29.3,45.0
2025-01-08,1200 UTC,27.8,52.0,8,1,12,31.6,37.0
2025-01-08,1300 UTC,29.3,45.0,8,1,13,31.9,33.0
2025-01-08,1400 UTC,31.6,37.0,8,1,14,33.4,29.0
2025-01-08,1500 UTC,31.9,33.0,8,1,15,34.1,25.0
2025-01-08,1600 UTC,33.4,29.0,8,1,16,34.0,25.0
2025-01-08,1700 UTC,34.1,25.0,8,1,17,34.4,23.0
2025-01-08,1800 UTC,34.0,25.0,8,1,18,33.9,23.0
2025-01-08,1900 UTC,34.4,23.0,8,1,19,33.0,25.0
2025-01-08,2000 UTC,33.9,23.0,8,1,20,31.8,29.0
2025-01-08,2100 UTC,33.0,25.0,8,1,21,30.2,38.0
2025-01-08,2200 UTC,31.8,29.0,8,1,22,27.7,55.0
2025-01-08,2300 UTC,30.2,38.0,8,1,23,26.2,63.0
2025-01-09,0000 UTC,27.7,55.0,9,1,0,25.2,68.0
2025-01-09,0100 UTC,26.2,63.0,9,1,1,24.7,68.0
2025-01-09,0200 UTC,25.2,68.0,9,1,2,23.9,67.0
2025-01-09,0300 UTC,24.7,68.0,9,1,3,23.5,70.0
2025-01-09,0400 UTC,23.9,67.0,9,1,4,23.7,67.0
2025-01-09,0500 UTC,23.5,70.0,9,1,5,23.2,70.0
2025-01-09,0600 UTC,23.7,67.0,9,1,6,22.6,72.0
2025-01-09,0700 UTC,23.2,70.0,9,1,7,22.6,75.0
2025-01-09,0800 UTC,22.6,72.0,9,1,8,23.9,71.0
2025-01-09,0900 UTC,22.6,75.0,9,1,9,25.2,61.0
2025-01-09,1000 UTC,23.9,71.0,9,1,10,26.6,53.0
2025-01-09,1100 UTC,25.2,61.0,9,1,11,29.2,44.0
2025-01-09,1200 UTC,26.6,53.0,9,1,12,30.6,39.0
2025-01-09,1300 UTC,29.2,44.0,9,1,13,31.6,34.0
2025-01-09,1400 UTC,30.6,39.0,9,1,14,32.3,31.0
2025-01-09,1500 UTC,31.6,34.0,9,1,15,32.3,29.0
2025-01-09,1600 UTC,32.3,31.0,9,1,16,32.5,28.0
2025-01-09,1700 UTC,32.3,29.0,9,1,17,33.1,27.0
2025-01-09,1800 UTC,32.5,28.0,9,1,18,32.9,27.0
2025-01-09,1900 UTC,33.1,27.0,9,1,19,32.1,29.0
2025-01-09,2000 UTC,32.9,27.0,9,1,20,30.0,40.0
2025-01-09,2100 UTC,32.1,29.0,9,1,21,29.1,47.0
2025-01-09,2200 UTC,30.0,40.0,9,1,22,27.8,55.0
2025-01-09,2300 UTC,29.1,47.0,9,1,23,26.6,63.0
2025-01-10,0000 UTC,27.8,55.0,10,1,0,25.5,68.0
